import time: self [us] | cumulative | imported package
import time:      3855 |       3855 |             pandas.core.reshape.tile
import time:      2555 |      28466 |           pandas.core.reshape.api
import time:      3652 |       3652 |             pandas.api.extensions
import time:      2532 |       2532 |             pandas.api.indexers
import time:      4082 |       4082 |                 pandas.core.interchange
import time:      6375 |      10456 |               pandas.core.interchange.dataframe_protocol
import time:      3681 |       3681 |                 pandas.core.interchange.utils
import time:      3179 |       6859 |               pandas.core.interchange.from_dataframe
import time:      2500 |      19815 |             pandas.api.interchange
import time:      4235 |       4235 |               pandas.core.dtypes.api
import time:      4061 |       8296 |             pandas.api.types
import time:      5548 |       5548 |               pandas.core.resample
import time:      3946 |       3946 |                     pandas._libs.json
import time:      3225 |       3225 |                     pandas.io.json._normalize
import time:      3316 |       3316 |                     pandas.io.json._table_schema
import time:      4621 |       4621 |                           pandas._libs.parsers
import time:      3559 |       3559 |                             pandas.io.parsers.base_parser
import time:      4247 |       7806 |                           pandas.io.parsers.arrow_parser_wrapper
import time:      2424 |       2424 |                           pandas.io.parsers.c_parser_wrapper
import time:      2446 |       2446 |                           pandas.io.parsers.python_parser
import time:      9363 |      26658 |                         pandas.io.parsers.readers
import time:      6385 |      33042 |                       pandas.io.parsers
import time:        53 |      33095 |                     pandas.io.parsers.readers
import time:      5894 |      49473 |                   pandas.io.json._json
import time:      3582 |      53055 |                 pandas.io.json
import time:        48 |      53102 |               pandas.io.json._json
import time:      5027 |       5027 |               pandas.io.stata
import time:      3832 |      67509 |             pandas.api.typing
import time:      3690 |     105491 |           pandas.api
import time:      4768 |       4768 |                   tempfile
import time:      3090 |       7858 |                 pandas._testing.contexts
import time:      2571 |      10428 |               pandas._testing._io
import time:      3041 |       3041 |               pandas._testing._warnings
import time:        84 |         84 |                   cmath
import time:      3324 |       3408 |                 pandas._libs.testing
import time:      2930 |       6338 |               pandas._testing.asserters
import time:      3048 |       3048 |               pandas._testing.compat
import time:      2912 |      25765 |             pandas._testing
import time:      2350 |      28114 |           pandas.testing
import time:      3787 |       3787 |           pandas.util._print_versions
import time:      2557 |       2557 |             pandas.io.clipboards
import time:      3482 |       3482 |                 pandas.io.excel._util
import time:      2638 |       2638 |                 pandas.io.excel._calamine
import time:      2010 |       2010 |                 pandas.io.excel._odfreader
import time:      1994 |       1994 |                 pandas.io.excel._openpyxl
import time:      1876 |       1876 |                 pandas.io.excel._pyxlsb
import time:      1812 |       1812 |                 pandas.io.excel._xlrd
import time:      3987 |      17797 |               pandas.io.excel._base
import time:      2270 |       2270 |               pandas.io.excel._odswriter
import time:      3646 |       3646 |               pandas.io.excel._xlsxwriter
import time:      2293 |      26005 |             pandas.io.excel
import time:      2224 |       2224 |             pandas.io.feather_format
import time:      2391 |       2391 |             pandas.io.gbq
import time:      2824 |       2824 |             pandas.io.html
import time:      2153 |       2153 |             pandas.io.orc
import time:      2874 |       2874 |             pandas.io.parquet
import time:      2974 |       2974 |               pandas.compat.pickle_compat
import time:      4420 |       7394 |             pandas.io.pickle
