ticker,nom,secteur,prix,market_cap_B,score,C1_CA_Growth_%,C1_ok,C2_Marge_%,C2_ok,C3_Underval,C3_ok,C4_Momentum_%,C4_ok,C5_VolRatio,C5_ok
DVLT,Datavault AI Inc.,Technology,0.52,0.4484856167901108,2,3649.556541019955,True,89.29659087549156,True,1,False,-18.093744697281977,False,0.6914946756339845,False
ASYS,"Amtech Systems, Inc.",Technology,18.19,0.2621259901784897,2,-22.193971703916343,False,44.76361144784694,True,0,False,15.523807586185523,True,0.6866945683761251,False
IQV,"IQVIA Holdings, Inc.",Healthcare,176.47,29.452843203735352,2,10.257705912076807,False,32.90559120073327,True,3,True,-12.871528058461035,False,0.8375341254849138,False
RBLX,Roblox Corporation,Communication Services,43.76,29.38903073066876,2,43.19422617065867,True,77.73849292696009,True,1,False,-30.616777337444123,False,0.9761322457365003,False
SPG,"Simon Property Group, Inc.",Real Estate,205.51,66.75790484045956,2,13.223724460129741,False,82.3927049527146,True,2,True,5.071833097132461,False,0.8748932893331558,False
IP,International Paper Company,Consumer Cyclical,33.52,17.749409210873633,2,31.1353711790393,True,31.35198135198135,True,1,False,-24.994402578185714,False,1.0650384354848603,False
TW,Tradeweb Markets Inc.,Financial Services,109.43,12.697815247641365,2,12.482950032805,False,69.44106004992489,True,2,True,8.539972858969946,False,0.9700499672717119,False
IT,"Gartner, Inc.",Technology,151.05,10.11308303777095,2,2.183580264693004,False,67.32820942958055,True,2,True,-4.295760438851392,False,0.9407428781423964,False
CAPMAN.HE,CapMan Plc,Financial Services,,,2,47.55632332829482,True,38.47317073170732,True,0,False,,False,0.946882307158155,False
CTS,CTS Corporation,Technology,60.0,1.7155746,2,7.718444697296661,False,39.12406844854339,True,1,False,11.462006240144351,True,1.0218633154489039,False
NUTX,Nutex Health Inc.,Healthcare,130.59,0.898634034809784,2,-41.12244982406412,False,30.4181857739041,True,2,True,4.388487554542397,False,0.9681576090291891,False
PAA,"Plains All American Pipeline, L",Energy,22.17,15.641637465937796,2,-14.820190291888405,False,4.30708065126846,False,2,True,11.969701669469579,True,0.9004395239175959,False
DMRC,Digimarc Corporation,Technology,8.18,0.1807230944023361,2,2.8875028875028876,False,63.51594072743602,True,1,False,46.59498955230972,True,0.796638174782293,False
BRC,Brady Corporation,Industrials,80.74,3.527482950809349,2,7.699446274619752,False,50.60538297534474,True,2,True,-10.95180380027495,False,1.0937372225437323,False
CRBP,Corbus Pharmaceuticals Holdings,Healthcare,10.92,0.1936821882331848,2,,False,,False,1,False,36.329585071913705,True,1.314603200162933,True
BLKB,"Blackbaud, Inc.",Technology,35.32,1.6223219699026337,2,-2.3081606183329364,False,58.350719375728175,True,3,True,-26.185996194072036,False,1.1642542062854844,False
NXPI,NXP Semiconductors N.V.,Technology,303.55,76.63759294852765,2,7.200257152041144,False,54.18290854572714,True,0,False,33.80498412072994,True,1.1388672091938037,False
IRM,Iron Mountain Incorporated (Del,Real Estate,132.06,39.29110864648138,2,16.561783214726812,False,55.37572015992039,True,0,False,46.619293889242066,True,0.8916789484260741,False
ENOV,Enovis Corporation,Healthcare,24.85,1.4298452653494034,2,2.6352332991666296,False,60.68886580820414,True,1,False,8.943450080186398,True,0.8065055342418994,False
AMD,"Advanced Micro Devices, Inc.",Technology,421.39,687.1188271539615,2,34.108122225124056,True,54.30379746835443,True,1,False,110.49503447195094,False,1.1051952793393505,False
BYRN,"Byrna Technologies, Inc.",Industrials,5.51,0.12499795873233413,2,10.916380297823597,False,59.9022341560811,True,2,True,-54.90998274567512,False,1.1980238831350505,False
FIS,Fidelity National Information S,Technology,45.97,23.760476789573822,2,8.19545979222778,False,38.30014224751067,True,2,True,-10.859023671243362,False,1.1610963030458517,False
BFT.WA,BENEFIT,Consumer Cyclical,,,2,41.19219433757393,True,34.201916091501374,True,0,False,,False,1.1603144902191178,False
ARGX,argenx SE,Healthcare,807.55,50.21973371192193,2,74.4119467342713,True,88.37722857074084,True,0,False,-5.09126042436746,False,0.8893663279900708,False
ESI,Element Solutions Inc.,Basic Materials,44.24,10.777182848406593,2,8.330663248958667,False,40.90505767524401,True,0,False,47.95987372203654,True,1.0814539502805607,False
CPRT,"Copart, Inc.",Industrials,33.07,31.85660809718161,2,-3.5795948822160097,False,43.93540369126859,True,2,True,-20.120776628106285,False,0.9070580044751794,False
GIS,"General Mills, Inc.",Consumer Defensive,35.07,18.716200152393416,2,-8.374292676882408,False,30.808934568485586,True,2,True,-27.690722278712954,False,0.9944573043137415,False
BOSCHLTD.NS,BOSCH LIMITED,Consumer Cyclical,,,2,9.402781198916184,False,36.810217782872115,True,0,False,,False,1.4546734681359341,True
GDEN,"Golden Entertainment, Inc.",Consumer Cyclical,28.55,0.7536860339093056,2,-5.221553677133322,False,53.30077748506072,True,0,False,4.732204685794406,False,1.459996743816241,True
